,Mora,Motivo salida_despido,Motivo salida_pensión,Motivo salida_renuncia,Linea de Credito_Libre Inversion,Linea de Credito_Vehículo,Linea de Credito_Vivienda,Estado Crediticio_Reestructurado,Estado Crediticio_Vigente,Valor crédito,Plazo crédito,Plazo residual,Saldo  Capital,edad,endeudameinto,antigüedad cuando otorgaron el crédito,tiempo trabajado,tasa,cuota total,Cuentas x Cobrar,Provisión General,cargo,Calif. Ope. Sup. Act.
0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2069306930693069,1.0,0.3070175438596491,0.08309826953799,1.0,0.0741519247587339,0.6053514659131048,0.6182257199069934,0.2469135802469136,0.1203510585978334,0.0395680906397665,0.0857401668217713,2.0,0.0
1,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.1306930693069307,1.0,0.9517543859649122,0.1468127477550813,0.5682408579231334,0.002577596391365,1.0,1.0000000000000002,0.2469135802469136,0.0894396095261886,0.0025689513876813,0.1492710625443084,0.0,0.0
2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0394059405940594,0.1875,0.2763157894736842,0.0497535834805212,0.753014054486112,0.1071697071052671,0.9025962557400212,0.916204614559113,0.4552469135802469,0.0909159190237643,0.0009042871648189,0.0,6.0,0.0
3,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0396039603960396,0.0,0.087719298245614,0.0319034869247423,0.5782988076999934,0.0856897371772251,0.8918226774991168,0.9033267751743876,0.4552469135802469,0.1548522136733796,0.0005974778702606,0.0,6.0,0.0
4,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6237623762376238,1.0,0.881578947368421,0.5942955636719364,0.7599413841337509,0.0715896712030317,0.8614447191805015,0.92863530674298,0.2469135802469136,0.4297378511915325,0.0,0.5954645323986211,2.0,0.0
5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0670702970297029,0.1875,0.0745614035087719,0.0073666622317542,0.7599413841337509,0.0318517268361538,0.7877958318615331,0.92863530674298,0.4552469135802469,0.1210252822406073,0.0,0.0,2.0,0.0
6,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4257425742574257,1.0,0.5921052631578947,0.2913080963011439,0.8266835409311929,0.0451079368488884,0.7831155068880252,0.7881416562332322,0.2469135802469136,0.2729393425630453,0.0051678783960954,0.2933500721784023,6.0,0.0
7,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2277227722772277,1.0,0.4473684210526315,0.1202499853900531,0.8811696529674283,0.1041471684796784,0.6993995054750971,0.7244678948309784,0.2469135802469136,0.1376866744780804,0.0021130778072168,0.1227848362871426,6.0,0.0
8,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1466704554455445,1.0,0.3114035087719298,0.1631589489284183,0.4221674548724438,0.0592233456587446,0.653744259978806,0.6705419424074406,0.0,0.0738185491876203,0.418162391365502,0.1655701651774645,6.0,4.0
9,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0712871287128712,1.0,0.3201754385964911,0.0298205154986795,0.8216212615733033,0.0196388296484956,0.6440303779583185,0.8112144517975318,0.2469135802469136,0.0381382300136108,0.038481372660986,0.0326159236211977,7.0,0.0
10,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2793256574257425,1.0,0.5877192982456141,0.1849026539964309,0.8329447811896357,0.0155422925265047,0.6391734369480749,0.673761402253622,0.2469135802469136,0.1762114426287087,0.0032205481388123,0.1872512191620122,6.0,0.0
11,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4471287128712871,1.0,0.3070175438596491,0.0551262950269289,0.952707653367082,0.0016877119229175,0.6274284705051218,0.6659810409586836,0.2469135802469136,0.2459578639613438,0.0009947565721887,0.0578487883081584,6.0,0.0
